Detect location of the photo (approximate),Overpass Turbo
geospy.ai,overpass-turbo.eu
usersearch.ai,osm-search.bellingcat.com
picarta.ai,taginfo.openstreetmap.org
Social media posts on the map,Map Switchers
instahunt.co,tankaru.github.io/OpenSwitchMapsWeb/ (160+ maps)
birdhunt.co,OSM Smart Menu (browser extension)
photo-map.ru (VK),Map tools
mattw.io/youtube-geofind/,calcmaps.com
huntintel.io,scribblemaps.com
Maps of natural phenomena,showmystreet.com
ventusky.com (detailed weather),Satellite imagery
firms.modaps.eosdis.nasa.gov/map (fires),earthexplorer.usgs.gov
Transport,apps.sentinel-hub.com/eo-browser/
globe.adsbexchange.com (flights),eos.com/landviewer
marinetraffic.com,History
cybdetective.com/osintmap (list of local transport maps),pastvu.com (old photo map)
Street cams,oldmapsonline.org
insecam.org,Search servers by geolocation in Netlas
earthcam.com,geo.city:London
sunders.uber.space,geo.country:GB